クレブスポーツ通販事業課,https://store.ponparemall.com/sportsx/
パジャマのモリキュー,https://store.ponparemall.com/morikyu/
フルショット　ポンパレモール店,https://store.ponparemall.com/fullshot/
ドッグワールド ポンパレモール店,https://store.ponparemall.com/dogworld/
TREND-I,https://store.ponparemall.com/trend-i/
ギャレリア Bag＆Luggage,https://store.ponparemall.com/galleria/
サンモールサンコー,https://store.ponparemall.com/sunmallshop/
子供服　arbre,https://store.ponparemall.com/arbre-0809/
THE BEST,https://store.ponparemall.com/thebest/
釣具のキャスティング,https://store.ponparemall.com/casting/
フォーモスト(foremost),https://store.ponparemall.com/foremost/
お茶のぶどう園　ポンパレモール店,https://store.ponparemall.com/ocha-no-budouen/
セレクト淡路　ポンパレモール店,https://store.ponparemall.com/selectawaji/
リュネメガネコンタクト,https://store.ponparemall.com/lune-shop/
あっと美人,https://store.ponparemall.com/atbijin/
チャーム charm ポンパレモール店,https://store.ponparemall.com/charm/
タオル直販店ヒオリエ,https://store.ponparemall.com/toucher-home/
米屋ふくち,https://store.ponparemall.com/komeyafukuchi/
業務ショップ　のん太郎　PM店,https://store.ponparemall.com/nontarou/
ゴルフショップ　フジコ,https://store.ponparemall.com/golffujico/
インナーショップ　ジュネワコー,https://store.ponparemall.com/junewako/
サプリ専門店　オーガランド,https://store.ponparemall.com/oga/
宮崎産直　ポンパレモール店,https://store.ponparemall.com/miyazakisantyoku/
KIRARI Design Shop,https://store.ponparemall.com/kirari-ds/
Sears,https://store.ponparemall.com/jewelry-oukoku/
クリックル（cliQle）,https://store.ponparemall.com/cliqle/
C.I.O.ポンパレモール店,https://store.ponparemall.com/cio/
マヌカハニーと健康食品のハンズ,https://store.ponparemall.com/hands/
おいしいものショップ「海と太陽」,https://store.ponparemall.com/yummy39/
ロンプシュー(LONGPSHOE),https://store.ponparemall.com/longpshoe/
ヴィオレッタ,https://store.ponparemall.com/violetta/
介護もーる　介護用品専門店,https://store.ponparemall.com/kaigomall/
背広屋　石K,https://store.ponparemall.com/ishi-k/
Dress K.O　ドレスケーオー,https://store.ponparemall.com/dress-ko/
はり丸　ポンパレモール店,https://store.ponparemall.com/harimaru/
シルクライフショップPPM店,https://store.ponparemall.com/silklifeshop/
ジールマーケット(Zeal Market),https://store.ponparemall.com/zealmarket/
本場九州ラーメン専門店,https://store.ponparemall.com/honba-kyusyu/
アイプラス,https://store.ponparemall.com/eyeplus/
Queen Ruiz,https://store.ponparemall.com/1-d-royal/
プライズマーケット,https://store.ponparemall.com/prize-market/
nico インナーショップ,https://store.ponparemall.com/nico-ins/
XPRICE ポンパレモール店,https://store.ponparemall.com/premoa-ponpare/
FETISH by o.s.p,https://store.ponparemall.com/fetish-byosp-spruce-vasin/
マドンナモア　オンラインストア,https://store.ponparemall.com/madonna-more/
ドリームコンタクト,https://store.ponparemall.com/dreamcl/
ハーベストシーズン,https://store.ponparemall.com/white-hseason/
ぼくの玉手箱屋－,https://store.ponparemall.com/bokunotamatebakoya-/
ドレス＆カジュアルマーケット,https://store.ponparemall.com/dress-casual/
ピザ・アリオ,https://store.ponparemall.com/pizza-aglio/
イーズアロマショップ(ease-aroma-shop),https://store.ponparemall.com/ease-aroma/
伊勢丸中製茶　ポンパレモール店,https://store.ponparemall.com/isecha/
花紋印章,https://store.ponparemall.com/kamon/
Bagtory,https://store.ponparemall.com/bagtory/
SYNCS MALL,https://store.ponparemall.com/syncs/
タイヤナウ　ポンパレモール店,https://store.ponparemall.com/ttirenow/
イーモノ(e-mono),https://store.ponparemall.com/e-mono/
Living days,https://store.ponparemall.com/livingdays/
アクセサリーショップPIENA,https://store.ponparemall.com/alive/
おいもや,https://store.ponparemall.com/oimoya/
タマチャンショップ,https://store.ponparemall.com/tamachanshop/
アットイーズ,https://store.ponparemall.com/atease/
はっぴーDOG,https://store.ponparemall.com/k-city/
濱埼屋　ポンパレモール店,https://store.ponparemall.com/hamasakiya/
L＆A,https://store.ponparemall.com/lucky-anna/
デンタルフィット,https://store.ponparemall.com/d-fit/
ビードットラボ,https://store.ponparemall.com/b-labo/
プチスーベニア,https://store.ponparemall.com/puticafe/
日本茶専門店　てらさわ茶舗,https://store.ponparemall.com/teracha/
酒舗アズマヅル　ポンパレモール店,https://store.ponparemall.com/azumazuru/
くじらやポンパレモール店,https://store.ponparemall.com/pckujira/
プロのすすめるカーペット,https://store.ponparemall.com/procarpet-27/
JYPLUS,https://store.ponparemall.com/jyplus/
アクセサリーマート,https://store.ponparemall.com/accessorymart/
ミートショップ讃岐,https://store.ponparemall.com/sanuki-meat/
レンズフリー,https://store.ponparemall.com/lensapple/
超音波歯ブラシスマイルエックス店,https://store.ponparemall.com/smile-ppm/
サンモクスイ,https://store.ponparemall.com/sunmokusui/
酒の茶碗屋ポンパレモール店,https://store.ponparemall.com/sakenochawanya/
世界のお酒ニューヨーク,https://store.ponparemall.com/sakenewyork/
Dark Angel（ダークエンジェル）,https://store.ponparemall.com/darkangel/
