GMOビューティー株式会社,〒150-8512,東京都渋谷区桜丘町26-1 セルリアンタワー,03-3770-9090,http://kumapon.jp/
GMOビューティー株式会社,,〒150-8512 東京都渋谷区桜丘町26番1号 セルリアンタワー,-,
BALIRELAX24,〒106-0032,東京都港区六本木4-10-10 正直屋ビル 2階,03-3796-2411,http://www.balirelax24.jp/
レバ刺し 串焼 金舌,〒108-0071,東京都港区白金台5-11-2 バルビゾン20　1F-B1F,03-5798-7492,http://www.kin-tan.jp/
ピュウデトックス池袋,〒171-0014,東京都豊島区池袋2-62-14 スーパーホテルシティ1Fビューティランド池袋店内,03-3989-1021,http://www.piudetox.jp/
Fish Bank TOKYO,〒105-7141,東京都港区東新橋1-5-2 汐留シティセンター41F ,03-3569-7171,http://www.fish-bank-tokyo.jp/
臼杵ふぐ 山田屋,〒106-0031,東京都港区西麻布4-11-14  ＦＬＥＧ西麻布ＶＩＥＲＧＥ地階Ａ,03-3499-5501,http://www.usukifugu-yamadaya.jp/
コマイゴルフスタジオ,〒101-0047,東京都千代田区内神田１丁目１２-３ 翔和内神田ビルＢ１,03-3293-5566,http://www.kgs.gs/
PIU BELLO 表参道本店,〒107-0061,東京都港区北青山3-5-15  ミヤヒロビル3F,03-5786-1166,http://www.piubello.co.jp/
星遊山,〒105-0021,東京都港区東新橋1-5-2 汐留シティセンター41F ,03-3569-2929,http://www.seiyuzan.jp/
Safe Body's,〒151-0063,東京都渋谷区富ヶ谷(地図は駅を指しております) ※詳細はお問合せください,03-3468-2550,http://www.safebodys.jp/
ネイルサロンTDPARIS 道玄坂店,〒150-0044,東京都渋谷区円山町5-3  玉川屋ビル６階,03-6663-8005,http://www.td-paris.com/d.html
新生堂O2salon,〒157-0062,東京都世田谷区南烏山4-12-8 新生堂O2サロン1F奥,03-3308-4341,http://www.o2-sinseido.com/index.html
中国飯店 富麗華,〒106-0044,東京都港区東麻布3-7-5 ,03-5561-7788,http://www.chuugokuhanten.com/storefureika/
フォーレディ恵比寿/代官山,〒106-0047,東京都渋谷区恵比寿西1-12-11 Biosビル５F,03-5456-8055,http://www.forlady.jp/
トラットリア ラ・ベルデ　日比谷店,〒100-0011,東京都千代田区内幸町2-2-2 富国生命ビルB1,03-3591-4030,http://www.la-verde.jp/shopinfo/hibiya.html
PiuBELLO,〒107-0061,東京都港区北青山3-5-15 ミヤヒロビル3F,03-5786-1166,http://www.piubello.co.jp/facial/gold.html#ue
株式会社ジールワールドワイド,〒105-0014,東京都港区芝3-12-18 サンコート芝公園B1F,03-5476-7050,http://zeal-studios.com/
Player's Cafe新宿,〒160-0021,東京都新宿区歌舞伎町2-19-12 B1 ,03-5155-8440,http://r.gnavi.co.jp/e845800/
KARACHI,〒160-0023,東京都新宿区西新宿7-10-10 西村ビルB1,03-3364-3458,http://www.karachi-cafe.com/
アルティファータ,〒150-0001,東京都渋谷区神宮前5-9-15 トータルアートワークスクエア,03-5766-5663,http://www.artifata.com/
みかわ是山居,〒135-0032,東京都江東区福住1-3-1 ,03-3643-8383,http://r.tabelog.com/tokyo/A1313/A131303/13090866/
食酒 蔵,〒180-0004,東京都武蔵野市吉祥寺本町2-8-4 コスモス吉祥寺ビル4F,0422-21-6653,http://r.gnavi.co.jp/a189601/
東京倶楽部,〒101-0062,東京都千代田区神田駿河台2-11-16 さいかち坂ビル地下1階,03-3293-6056,http://www.tokyo-club.com/
アスカクリニカルサロン,〒150-0021,東京都渋谷区恵比寿西1丁目10-8 本間ビル6F,03-3462-2817,http://www.iyashi.ne.jp/
てんぷら真,〒104-0061,東京都中央区銀座7-7-16 西七番館ビル１Ｆ,03-3571-1380,http://r.tabelog.com/tokyo/A1301/A130101/13094471/
株式会社ミッシィボーテ,〒000-0000,東京都※住所非公開詳細はご予約時に ,03-3400-0812,http://www.mishii.com/
トラットリア ラ・ベルデ　渋谷店,〒150-0002,東京都渋谷区渋谷2-15-1 渋谷クロスタワー1,03-3797-5808,http://www.la-verde.jp/shopinfo/shibuya.html
香港レストラン陳,〒169-0073,東京都新宿区百人町3-5-12 中込ビル2F,03-5348-4788,http://r.tabelog.com/tokyo/A1304/A130404/13116794/
麻布かどわき,〒106-0045,東京都港区麻布十番2-7-2 ビランカ麻布 1Ｆ,03-5772-2553,http://azabu-kadowaki.com/
ホリプロ・ジー・スクエア,〒150-0044,東京都渋谷区円山町19-1 渋谷プライムプラザ 2F,03-3462-0562,http://gs.horipro.co.jp/
うまの蔵,〒169-0075,東京都新宿区高田馬場4-14-6 第一長谷川ビル 1F,03-6304-0541,http://www.hotpepper.jp/strJ000760574/
バンコクオリエンタル,〒153-0064,東京都目黒区下目黒1-3-1 シーダム目黒2F,03-5719-0082,http://bangkok-oriental.com
La BOMBANCE,〒106-0031,東京都港区西麻布2-26-21 ニューシティレジデンスB1F,03-5778-6511,http://www.bombance.com/
たけぞう,〒151-0053,東京都渋谷区代々木3-43-1 ,03-6300-0991,http://www.tansui.com/intro.html
イタリア料理松浦,〒150-0012,東京都渋谷区広尾5-8-12 広尾ファイブビル1F,03-5449-3377,http://www.matsuura.ne.jp/
てんぷら みかわ 六本木ヒルズ けやき坂通り店,〒106-0032,東京都港区六本木6-12-2 六本木ヒルズ けやき坂通り レジデンスB棟 3Ｆ,03-3423-8100,http://r.tabelog.com/tokyo/A1307/A130701/13001458/
トラットリア ラ・ベルデ　青山店,〒107-0061,東京都港区北青山 1-2-3 青山ビル B1,03-3404-0712,http://www.la-verde.jp/shopinfo/aoyama.html
牛専門 ホルモン・焼肉 丸勝,〒166-0003,東京都杉並区高円寺南3－67－1 JR高架下2階,03-3338-5777,http://bnavi.c-pon.com/user/shop/show/3602?ext_key=2908
荻窪 金の蟹,〒167-0051,東京都杉並区荻窪5-21-12 ,03-6410-8440,http://www.kinnokani.jp/ogikubo_kinnokani.html
鉄板焼 蘭麻 麻布,〒106-0044,東京都港区東麻布1-18-5 ,03-6230-3636,http://www.t-ranma.com/
タムサバイ,〒160-0022,東京都新宿区新宿3-21-2 NANAEビル5F,03-3355-4399,http://www.tamsabay.com/
